id;art;name;category;weight;date;price
71;100071;product 71;cat 60;2139;2018-11-24;54352
72;100072;product 72;cat 61;1505;2017-02-13;89446
73;100073;product 73;cat 62;4154;2018-01-18;80453
74;100074;product 74;cat 63;151;2018-09-25;28118
75;100075;product 75;cat 64;3762;2018-04-12;18306
76;100076;product 76;cat 65;3877;2017-01-11;26071
77;100077;product 77;cat 66;3484;2018-07-28;64245
78;100078;product 78;cat 67;4627;2017-03-31;71997
79;100079;product 79;cat 68;4752;2018-10-11;43496
80;100080;product 80;cat 69;1058;2017-06-23;26998
81;100081;product 81;cat 70;2692;2018-06-14;31141
82;100082;product 82;cat 71;1657;2018-10-16;45991
83;100083;product 83;cat 72;4025;2017-10-01;31476
84;100084;product 84;cat 73;1097;2018-07-18;53647
85;100085;product 85;cat 74;3268;2018-11-28;6287
86;100086;product 86;cat 75;428;2018-09-30;67949
87;100087;product 87;cat 76;2067;2017-04-12;81133
88;100088;product 88;cat 77;4177;2018-07-07;20473
89;100089;product 89;cat 78;4998;2017-03-22;7809
90;100090;product 90;cat 79;1534;2018-04-21;3719
91;100091;product 91;cat 80;2435;2017-04-30;66379
92;100092;product 92;cat 81;1204;2018-05-27;69573
93;100093;product 93;cat 82;2407;2017-06-17;64884
94;100094;product 94;cat 83;2907;2017-01-05;65490
95;100095;product 95;cat 84;432;2018-07-31;37808
96;100096;product 96;cat 85;1652;2017-12-18;14303
97;100097;product 97;cat 86;165;2018-04-01;28090
98;100098;product 98;cat 87;1031;2017-03-04;29748
99;100099;product 99;cat 88;2627;2017-01-09;45728
100;100100;product 100;cat 89;4301;2018-04-06;24694
101;100101;product 101;cat 90;4954;2018-04-15;80315
102;100102;product 102;cat 91;2867;2018-10-10;32126
103;100103;product 103;cat 92;4757;2018-03-13;837
104;100104;product 104;cat 93;2681;2018-11-23;77596
105;100105;product 105;cat 94;2816;2018-01-23;4041
106;100106;product 106;cat 95;4365;2017-01-21;73523
107;100107;product 107;cat 96;2936;2018-04-29;82203
108;100108;product 108;cat 97;1714;2017-02-22;14253
109;100109;product 109;cat 98;4333;2018-06-15;69014
110;100110;product 110;cat 99;1908;2017-06-05;5449
111;100111;product 111;cat 100;106;2018-05-21;57082
112;100112;product 112;cat 101;2379;2018-12-02;41194
113;100113;product 113;cat 102;1349;2018-04-29;39165
114;100114;product 114;cat 103;4301;2018-04-12;48160
115;100115;product 115;cat 104;152;2018-02-07;87506
116;100116;product 116;cat 105;1471;2017-08-09;4391
117;100117;product 117;cat 106;204;2017-04-14;8987
118;100118;product 118;cat 107;284;2018-11-22;11475
119;100119;product 119;cat 108;4881;2018-12-22;63081
120;100120;product 120;cat 109;2045;2017-03-27;83026
121;100121;product 121;cat 110;3254;2018-05-03;66400
122;100122;product 122;cat 111;4405;2017-01-18;7211
123;100123;product 123;cat 112;3174;2017-10-23;36121
124;100124;product 124;cat 113;1031;2018-10-06;57790
125;100125;product 125;cat 114;1584;2017-03-30;22108
126;100126;product 126;cat 115;4397;2017-01-05;3369
127;100127;product 127;cat 116;2285;2018-03-14;47360
128;100128;product 128;cat 117;4588;2018-02-03;6942
129;100129;product 129;cat 118;1918;2018-05-22;83596
130;100130;product 130;cat 119;2477;2017-02-21;18866
131;100131;product 131;cat 120;4836;2017-11-19;16385
132;100132;product 132;cat 121;229;2018-03-26;7246
133;100133;product 133;cat 122;1786;2017-10-28;36536
134;100134;product 134;cat 123;2564;2018-05-02;84204
135;100135;product 135;cat 124;3742;2018-12-09;87553
136;100136;product 136;cat 125;3795;2017-03-09;77932
137;100137;product 137;cat 126;237;2018-10-29;12542
138;100138;product 138;cat 127;3146;2018-08-09;60005
139;100139;product 139;cat 128;2594;2018-02-19;7708
140;100140;product 140;cat 129;2319;2018-05-08;68758
141;100141;product 141;cat 130;1345;2017-03-07;13441
142;100142;product 142;cat 131;756;2018-11-18;75431
143;100143;product 143;cat 132;4792;2018-01-07;46533
144;100144;product 144;cat 133;2344;2018-09-14;75916
145;100145;product 145;cat 134;4222;2018-11-06;14784
146;100146;product 146;cat 135;4117;2017-04-15;1404
147;100147;product 147;cat 136;730;2018-03-06;29458
148;100148;product 148;cat 137;1999;2018-01-17;80239
149;100149;product 149;cat 138;3000;2017-12-23;7011
150;100150;product 150;cat 139;1413;2017-08-12;3595
151;100151;product 151;cat 140;1010;2018-08-27;35847
152;100152;product 152;cat 141;827;2017-10-23;70118
153;100153;product 153;cat 142;1049;2017-04-17;57297
154;100154;product 154;cat 143;2616;2018-10-11;79101
155;100155;product 155;cat 144;3898;2018-03-28;65948
156;100156;product 156;cat 145;322;2017-05-08;16222
157;100157;product 157;cat 146;3391;2017-10-26;28625
158;100158;product 158;cat 147;3344;2017-06-23;86233
159;100159;product 159;cat 148;2568;2018-04-10;2066
160;100160;product 160;cat 149;326;2017-06-21;65097
161;100161;product 161;cat 150;2885;2017-09-16;75682
162;100162;product 162;cat 151;1677;2017-04-22;34341
163;100163;product 163;cat 152;4445;2017-12-13;55914
164;100164;product 164;cat 153;3141;2018-08-11;11827
165;100165;product 165;cat 154;2019;2018-08-31;25830
166;100166;product 166;cat 155;4341;2018-10-07;20434
167;100167;product 167;cat 156;2146;2017-01-20;61713
168;100168;product 168;cat 157;2133;2017-11-16;32659
169;100169;product 169;cat 158;2783;2018-11-16;81385
170;100170;product 170;cat 159;2986;2017-05-21;75816
171;100171;product 171;cat 160;162;2017-05-05;37676
172;100172;product 172;cat 161;2055;2018-07-05;42947
173;100173;product 173;cat 162;989;2017-08-21;58624
174;100174;product 174;cat 163;2536;2018-10-17;63353
175;100175;product 175;cat 164;3475;2018-09-08;43854
176;100176;product 176;cat 165;1198;2017-08-05;19945
177;100177;product 177;cat 166;2061;2018-06-22;65819
178;100178;product 178;cat 167;4082;2018-09-15;66953
179;100179;product 179;cat 168;864;2017-06-15;85356
180;100180;product 180;cat 169;324;2017-05-02;42420
181;100181;product 181;cat 170;2262;2017-02-05;15839
182;100182;product 182;cat 171;1041;2018-03-19;46661
183;100183;product 183;cat 172;4968;2018-12-18;22489
184;100184;product 184;cat 173;1824;2018-05-23;87946
185;100185;product 185;cat 174;2044;2017-06-04;33172
186;100186;product 186;cat 175;4591;2018-10-24;69677
187;100187;product 187;cat 176;4633;2018-12-18;25235
188;100188;product 188;cat 177;4672;2017-07-16;41028
189;100189;product 189;cat 178;1600;2017-04-26;17935
190;100190;product 190;cat 179;2302;2017-07-01;61173
191;100191;product 191;cat 180;4576;2017-06-17;71562
192;100192;product 192;cat 181;2985;2018-06-25;85707
193;100193;product 193;cat 182;3393;2017-03-21;58741
194;100194;product 194;cat 183;3675;2017-10-29;48752
195;100195;product 195;cat 184;645;2018-11-29;24224
196;100196;product 196;cat 185;2344;2017-11-01;26270
197;100197;product 197;cat 186;1600;2018-08-11;58293
198;100198;product 198;cat 187;1110;2017-01-04;54329
199;100199;product 199;cat 188;840;2017-09-20;42581
200;100200;product 200;cat 189;4621;2018-09-02;15734
201;100201;product 201;cat 190;2351;2018-04-10;27429
202;100202;product 202;cat 191;1961;2018-09-13;24434
203;100203;product 203;cat 192;4872;2017-10-06;46866
204;100204;product 204;cat 193;1815;2017-10-30;72079
205;100205;product 205;cat 194;3353;2017-09-02;14157
206;100206;product 206;cat 195;1519;2018-09-09;17268
207;100207;product 207;cat 196;395;2017-03-05;75495
208;100208;product 208;cat 197;4407;2018-01-10;81278
209;100209;product 209;cat 198;1414;2017-04-05;7505
210;100210;product 210;cat 199;4288;2017-09-04;5855
211;100211;product 211;cat 200;4559;2018-09-21;39414
212;100212;product 212;cat 201;4640;2018-02-27;38815
213;100213;product 213;cat 202;3335;2017-03-22;1737
214;100214;product 214;cat 203;3482;2018-02-21;41640
215;100215;product 215;cat 204;4648;2017-04-05;49687
216;100216;product 216;cat 205;1968;2017-02-17;1884
217;100217;product 217;cat 206;3519;2018-10-12;24597
218;100218;product 218;cat 207;3687;2018-01-13;85209
219;100219;product 219;cat 208;452;2018-02-12;15039
220;100220;product 220;cat 209;4645;2018-12-27;88050
221;100221;product 221;cat 210;3318;2018-12-12;73835
222;100222;product 222;cat 211;4945;2017-01-15;84260
223;100223;product 223;cat 212;3108;2017-10-18;15733
224;100224;product 224;cat 213;2149;2017-01-27;47302
225;100225;product 225;cat 214;1901;2017-11-13;47662
226;100226;product 226;cat 215;1563;2017-11-13;80548
227;100227;product 227;cat 216;1723;2018-08-14;15688
228;100228;product 228;cat 217;3474;2018-06-20;6755
229;100229;product 229;cat 218;1635;2018-03-19;41118
230;100230;product 230;cat 219;1324;2017-01-17;1432
231;100231;product 231;cat 220;3143;2017-04-09;64698
232;100232;product 232;cat 221;4163;2017-05-20;66924
233;100233;product 233;cat 222;639;2017-02-19;37695
234;100234;product 234;cat 223;4385;2018-05-05;48328
235;100235;product 235;cat 224;3889;2017-04-30;68323
236;100236;product 236;cat 225;1870;2017-02-18;88651
237;100237;product 237;cat 226;1516;2018-03-26;45854
238;100238;product 238;cat 227;3968;2017-04-09;12337
239;100239;product 239;cat 228;1840;2018-06-05;28518
240;100240;product 240;cat 229;920;2017-12-22;73440
241;100241;product 241;cat 230;197;2017-09-27;34407
242;100242;product 242;cat 231;1437;2018-12-11;62595
243;100243;product 243;cat 232;2942;2018-10-30;30568
244;100244;product 244;cat 233;4395;2018-03-07;74969
245;100245;product 245;cat 234;311;2017-05-07;32953
246;100246;product 246;cat 235;1372;2017-10-07;24941
247;100247;product 247;cat 236;125;2018-10-01;35144
248;100248;product 248;cat 237;1182;2018-07-06;71422
249;100249;product 249;cat 238;4893;2018-04-19;74558
250;100250;product 250;cat 239;1136;2018-03-19;26178
251;100251;product 251;cat 240;4483;2018-07-12;32629
252;100252;product 252;cat 241;2905;2018-12-24;62337
253;100253;product 253;cat 242;626;2018-04-16;61919
254;100254;product 254;cat 243;4316;2018-08-10;657
255;100255;product 255;cat 244;3293;2018-07-13;58536
256;100256;product 256;cat 245;2551;2018-03-16;43921
257;100257;product 257;cat 246;2205;2017-06-30;37984
258;100258;product 258;cat 247;3532;2017-11-01;47495
259;100259;product 259;cat 248;3620;2018-01-11;14978
260;100260;product 260;cat 249;217;2017-03-11;62067
261;100261;product 261;cat 250;4842;2017-06-10;43457
262;100262;product 262;cat 251;2841;2017-05-09;81961
263;100263;product 263;cat 252;2279;2018-12-19;63966
264;100264;product 264;cat 253;1608;2018-06-05;9052
265;100265;product 265;cat 254;1082;2017-01-22;1006
266;100266;product 266;cat 255;3377;2018-06-20;64748
267;100267;product 267;cat 256;2563;2018-06-24;1156
268;100268;product 268;cat 257;4729;2017-10-31;73833
269;100269;product 269;cat 258;2247;2017-08-05;23697
270;100270;product 270;cat 259;1912;2017-07-16;35431
271;100271;product 271;cat 260;3796;2018-06-30;59137
272;100272;product 272;cat 261;3453;2017-09-19;84489
273;100273;product 273;cat 262;4371;2018-04-14;4122
274;100274;product 274;cat 263;1196;2018-01-23;17656
275;100275;product 275;cat 264;778;2017-09-20;83349
276;100276;product 276;cat 265;1582;2018-04-24;64301
277;100277;product 277;cat 266;1630;2018-05-11;6496
278;100278;product 278;cat 267;245;2017-12-23;65495
279;100279;product 279;cat 268;3595;2017-05-20;68416
280;100280;product 280;cat 269;3005;2018-03-10;31412
281;100281;product 281;cat 270;3568;2018-03-15;8687
282;100282;product 282;cat 271;2102;2017-07-08;80076
283;100283;product 283;cat 272;4653;2018-07-14;43372
284;100284;product 284;cat 273;1257;2018-04-26;11179
285;100285;product 285;cat 274;4803;2017-12-13;81356
286;100286;product 286;cat 275;1422;2018-06-26;73939
287;100287;product 287;cat 276;4646;2018-02-25;7236
288;100288;product 288;cat 277;3135;2017-12-21;38838
289;100289;product 289;cat 278;3104;2018-07-19;58902
290;100290;product 290;cat 279;2978;2018-01-03;22684
291;100291;product 291;cat 280;4327;2018-12-08;24205
292;100292;product 292;cat 281;3079;2018-04-10;72048
293;100293;product 293;cat 282;685;2018-09-25;27670
294;100294;product 294;cat 283;583;2018-05-31;1204
295;100295;product 295;cat 284;2495;2018-07-30;525
296;100296;product 296;cat 285;2800;2017-02-12;9908
297;100297;product 297;cat 286;943;2018-03-31;3903
298;100298;product 298;cat 287;4022;2017-09-08;18441
299;100299;product 299;cat 288;2007;2018-07-25;22310
300;100300;product 300;cat 289;2760;2017-09-08;3262
301;100301;product 301;cat 290;4807;2018-01-31;11644
302;100302;product 302;cat 291;2168;2017-02-22;89687
303;100303;product 303;cat 292;2610;2018-05-21;418
304;100304;product 304;cat 293;1713;2017-08-13;9371
305;100305;product 305;cat 294;2539;2018-04-23;69525
306;100306;product 306;cat 295;1421;2018-05-06;8001
307;100307;product 307;cat 296;3295;2018-12-16;62818
308;100308;product 308;cat 297;1671;2018-05-30;14655
309;100309;product 309;cat 298;1259;2017-11-26;7010
310;100310;product 310;cat 299;1793;2018-10-16;87048
311;100311;product 311;cat 300;4284;2018-11-22;68466
312;100312;product 312;cat 301;884;2017-10-16;67472
313;100313;product 313;cat 302;1621;2018-05-16;7669
314;100314;product 314;cat 303;565;2018-07-28;13372
315;100315;product 315;cat 304;3765;2018-10-15;61532
316;100316;product 316;cat 305;136;2017-02-19;38357
317;100317;product 317;cat 306;4626;2017-08-14;21815
318;100318;product 318;cat 307;425;2017-05-27;74805
319;100319;product 319;cat 308;3077;2017-05-05;41643
320;100320;product 320;cat 309;4689;2017-03-23;63250
321;100321;product 321;cat 310;4780;2017-09-23;9170
322;100322;product 322;cat 311;1332;2017-03-15;60414
323;100323;product 323;cat 312;2490;2018-11-30;63870
324;100324;product 324;cat 313;4682;2017-07-24;56297
325;100325;product 325;cat 314;2254;2017-09-14;29731
326;100326;product 326;cat 315;3956;2017-05-23;5094
327;100327;product 327;cat 316;3778;2017-06-17;24730
328;100328;product 328;cat 317;4531;2018-09-24;88722
329;100329;product 329;cat 318;3847;2017-02-13;56517
330;100330;product 330;cat 319;2752;2017-01-15;54281
331;100331;product 331;cat 320;1110;2018-08-01;22637
332;100332;product 332;cat 321;1512;2018-08-30;41725
333;100333;product 333;cat 322;657;2017-02-14;10487
334;100334;product 334;cat 323;3260;2017-03-05;27777
335;100335;product 335;cat 324;282;2018-11-22;68425
336;100336;product 336;cat 325;783;2018-08-06;61727
337;100337;product 337;cat 326;552;2018-09-02;71663
338;100338;product 338;cat 327;3777;2017-04-29;56277
339;100339;product 339;cat 328;1415;2017-04-07;56876
340;100340;product 340;cat 329;3748;2017-10-23;12109
341;100341;product 341;cat 330;2875;2018-04-02;16586
342;100342;product 342;cat 331;4236;2017-07-15;18478
343;100343;product 343;cat 332;3560;2017-06-04;81031
344;100344;product 344;cat 333;4497;2018-11-15;82396
345;100345;product 345;cat 334;284;2017-05-11;11045
346;100346;product 346;cat 335;2166;2017-03-15;35990
347;100347;product 347;cat 336;4704;2018-02-06;60186
348;100348;product 348;cat 337;3147;2017-08-17;43914
349;100349;product 349;cat 338;607;2018-04-04;33847
350;100350;product 350;cat 339;2958;2017-12-11;52406
351;100351;product 351;cat 340;3856;2017-02-06;75870
352;100352;product 352;cat 341;4791;2018-09-07;88967
353;100353;product 353;cat 342;3379;2017-08-21;9352
354;100354;product 354;cat 343;3064;2017-02-07;43134
355;100355;product 355;cat 344;1429;2017-06-24;14670
356;100356;product 356;cat 345;3403;2017-12-06;79734
357;100357;product 357;cat 346;370;2018-05-12;63484
358;100358;product 358;cat 347;213;2017-05-06;64481
359;100359;product 359;cat 348;146;2018-12-27;89304
360;100360;product 360;cat 349;4608;2017-11-07;22506
361;100361;product 361;cat 350;4283;2018-08-19;54174
362;100362;product 362;cat 351;3462;2018-01-29;20489
363;100363;product 363;cat 352;4104;2017-06-20;18953
364;100364;product 364;cat 353;3400;2017-06-30;8825
365;100365;product 365;cat 354;4011;2018-04-13;63282
366;100366;product 366;cat 355;3347;2017-12-07;34000
367;100367;product 367;cat 356;513;2017-09-04;20688
368;100368;product 368;cat 357;2728;2018-11-23;28326
369;100369;product 369;cat 358;3308;2018-12-16;383
370;100370;product 370;cat 359;2232;2017-07-16;62094
371;100371;product 371;cat 360;3386;2017-12-12;60653
372;100372;product 372;cat 361;1688;2018-07-19;46986
373;100373;product 373;cat 362;3160;2017-06-07;47865
374;100374;product 374;cat 363;4041;2017-02-16;70170
375;100375;product 375;cat 364;365;2017-03-07;3486
376;100376;product 376;cat 365;603;2018-10-25;78024
377;100377;product 377;cat 366;3784;2018-04-01;6925
378;100378;product 378;cat 367;2777;2017-12-13;87056
379;100379;product 379;cat 368;4346;2017-11-24;70741
380;100380;product 380;cat 369;3970;2017-11-15;84623
381;100381;product 381;cat 370;1103;2018-06-17;50272
382;100382;product 382;cat 371;2697;2018-03-21;17008
383;100383;product 383;cat 372;2616;2018-12-11;82331
384;100384;product 384;cat 373;2038;2018-11-07;25070
385;100385;product 385;cat 374;310;2018-12-06;59101
386;100386;product 386;cat 375;1165;2018-03-03;62355
387;100387;product 387;cat 376;4310;2017-06-21;87742
388;100388;product 388;cat 377;2966;2017-05-02;44016
389;100389;product 389;cat 378;3323;2017-12-31;58410
390;100390;product 390;cat 379;1282;2017-08-25;20083
391;100391;product 391;cat 380;4678;2017-06-08;67069
392;100392;product 392;cat 381;4784;2018-09-15;3909
393;100393;product 393;cat 382;3222;2018-12-25;29891
394;100394;product 394;cat 383;2792;2017-11-06;55454
395;100395;product 395;cat 384;4195;2018-06-15;80033
396;100396;product 396;cat 385;4867;2018-11-28;49899
397;100397;product 397;cat 386;1881;2018-07-03;7451
398;100398;product 398;cat 387;3139;2018-08-06;53748
399;100399;product 399;cat 388;4052;2018-07-19;70029
400;100400;product 400;cat 389;1397;2018-10-24;59590
401;100401;product 401;cat 390;2178;2018-05-31;77866
402;100402;product 402;cat 391;2196;2017-07-10;54798
403;100403;product 403;cat 392;681;2017-08-24;82275
404;100404;product 404;cat 393;2546;2017-08-09;33257
405;100405;product 405;cat 394;1066;2017-11-17;17849
406;100406;product 406;cat 395;4832;2018-08-30;80942
407;100407;product 407;cat 396;4512;2018-03-03;74825
408;100408;product 408;cat 397;2801;2018-03-03;4046
409;100409;product 409;cat 398;2507;2017-12-22;2913
410;100410;product 410;cat 399;4834;2018-08-16;2443
411;100411;product 411;cat 400;913;2018-12-11;17573
412;100412;product 412;cat 401;1148;2017-02-14;41132
413;100413;product 413;cat 402;3565;2017-01-20;4936
414;100414;product 414;cat 403;680;2018-06-07;47451
415;100415;product 415;cat 404;1511;2017-07-25;72742
416;100416;product 416;cat 405;4520;2017-05-12;26133
417;100417;product 417;cat 406;1315;2017-05-17;89448
418;100418;product 418;cat 407;1532;2018-03-10;19883
419;100419;product 419;cat 408;3376;2017-02-23;81925
420;100420;product 420;cat 409;2551;2017-08-16;43635
421;100421;product 421;cat 410;4066;2017-08-21;15962
422;100422;product 422;cat 411;1035;2018-10-03;66619
423;100423;product 423;cat 412;3965;2018-05-14;66634
424;100424;product 424;cat 413;2098;2018-08-23;68598
425;100425;product 425;cat 414;3897;2018-03-28;27085
426;100426;product 426;cat 415;3844;2018-04-23;80613
427;100427;product 427;cat 416;3598;2017-08-28;47028
428;100428;product 428;cat 417;4021;2018-12-30;35434
429;100429;product 429;cat 418;2485;2018-06-24;37675
430;100430;product 430;cat 419;3728;2017-12-01;83573
431;100431;product 431;cat 420;2746;2017-04-03;19509
432;100432;product 432;cat 421;3680;2017-07-23;77697
433;100433;product 433;cat 422;133;2017-11-29;81447
434;100434;product 434;cat 423;2198;2017-06-13;76650
435;100435;product 435;cat 424;3434;2017-02-06;43327
436;100436;product 436;cat 425;3420;2017-09-10;2375
437;100437;product 437;cat 426;4314;2018-12-28;75727
438;100438;product 438;cat 427;1477;2018-11-07;86060
439;100439;product 439;cat 428;2629;2017-11-23;68402
440;100440;product 440;cat 429;3418;2018-05-02;6840
441;100441;product 441;cat 430;3387;2017-08-08;81070
442;100442;product 442;cat 431;4084;2017-08-15;3642
443;100443;product 443;cat 432;4394;2017-11-04;10056
444;100444;product 444;cat 433;733;2018-10-27;80855
445;100445;product 445;cat 434;303;2017-07-29;40971
446;100446;product 446;cat 435;1095;2017-01-31;54456
447;100447;product 447;cat 436;1603;2017-04-07;43397
448;100448;product 448;cat 437;1348;2018-04-20;22254
449;100449;product 449;cat 438;3505;2017-03-17;64454
450;100450;product 450;cat 439;706;2018-10-05;34062
451;100451;product 451;cat 440;869;2017-09-25;26556
452;100452;product 452;cat 441;325;2017-12-09;86340
453;100453;product 453;cat 442;2662;2018-08-05;77337
454;100454;product 454;cat 443;2923;2018-04-30;24061
455;100455;product 455;cat 444;3104;2018-07-26;86984
456;100456;product 456;cat 445;3121;2017-02-10;79061
457;100457;product 457;cat 446;2160;2017-06-15;61847
458;100458;product 458;cat 447;4244;2017-10-22;48175
459;100459;product 459;cat 448;129;2018-04-03;4363
460;100460;product 460;cat 449;4583;2017-09-13;11694
461;100461;product 461;cat 450;1438;2017-10-05;52068
462;100462;product 462;cat 451;4333;2017-06-21;81659
463;100463;product 463;cat 452;3058;2017-12-19;33523
464;100464;product 464;cat 453;4192;2017-12-11;81403
465;100465;product 465;cat 454;1393;2017-08-07;89234
466;100466;product 466;cat 455;706;2018-11-03;30380
467;100467;product 467;cat 456;532;2018-01-02;68232
468;100468;product 468;cat 457;487;2018-12-03;15391
469;100469;product 469;cat 458;1432;2018-02-03;88440
470;100470;product 470;cat 459;3020;2018-04-16;51097
471;100471;product 471;cat 460;3225;2018-03-20;73157
472;100472;product 472;cat 461;3503;2017-09-18;62730
473;100473;product 473;cat 462;2585;2018-12-20;42861
474;100474;product 474;cat 463;4824;2017-09-13;57686
475;100475;product 475;cat 464;263;2017-05-30;62906
476;100476;product 476;cat 465;1765;2018-04-08;53378
477;100477;product 477;cat 466;4190;2017-11-10;25194
478;100478;product 478;cat 467;3537;2017-12-07;44895
479;100479;product 479;cat 468;3954;2017-06-06;2316
480;100480;product 480;cat 469;1750;2017-09-27;281
481;100481;product 481;cat 470;3836;2018-02-22;5973
482;100482;product 482;cat 471;3454;2017-09-06;22297
483;100483;product 483;cat 472;4479;2018-10-21;48809
484;100484;product 484;cat 473;1661;2018-04-19;17326
485;100485;product 485;cat 474;1518;2017-11-29;19977
486;100486;product 486;cat 475;1251;2017-03-07;44008
487;100487;product 487;cat 476;2346;2018-05-09;12662
488;100488;product 488;cat 477;1166;2018-04-30;62067
489;100489;product 489;cat 478;1800;2017-11-07;47483
490;100490;product 490;cat 479;1421;2018-03-08;10627
491;100491;product 491;cat 480;375;2017-05-25;24028
492;100492;product 492;cat 481;2028;2018-07-11;41659
493;100493;product 493;cat 482;809;2018-12-27;5711
494;100494;product 494;cat 483;390;2018-04-27;63100
495;100495;product 495;cat 484;3670;2018-07-20;64585
496;100496;product 496;cat 485;4695;2018-08-17;70035
497;100497;product 497;cat 486;1222;2017-08-24;51083
498;100498;product 498;cat 487;1942;2018-04-29;11419
499;100499;product 499;cat 488;3032;2018-10-31;77110
500;100500;product 500;cat 489;3417;2017-01-25;50505
501;100501;product 501;cat 490;4006;2017-05-26;45245
502;100502;product 502;cat 491;439;2018-05-27;75941
503;100503;product 503;cat 492;3122;2017-01-01;11408
504;100504;product 504;cat 493;1666;2018-03-07;61134
505;100505;product 505;cat 494;1212;2018-07-20;31810
506;100506;product 506;cat 495;1474;2018-10-15;30646
507;100507;product 507;cat 496;4159;2017-10-24;6446
508;100508;product 508;cat 497;4739;2017-01-24;4569
509;100509;product 509;cat 498;2836;2017-09-08;17098
510;100510;product 510;cat 499;4030;2018-08-15;35209
511;100511;product 511;cat 500;1330;2018-08-30;87707
512;100512;product 512;cat 501;3426;2017-11-26;49295
513;100513;product 513;cat 502;3033;2017-09-29;1109
514;100514;product 514;cat 503;4971;2018-08-15;41796
515;100515;product 515;cat 504;4384;2017-06-03;69044
516;100516;product 516;cat 505;932;2018-03-18;75406
517;100517;product 517;cat 506;1048;2017-05-12;44455
518;100518;product 518;cat 507;2848;2017-04-10;12756
519;100519;product 519;cat 508;211;2017-10-17;54853
520;100520;product 520;cat 509;2920;2018-06-08;59379
